name,t,x,y,z,vx,vy,vz,E,L
Sun,9.4608e+08,1.81465e+09,1.49132e+10,0,-1.44831,25.4705,0,-1.97701e+35,3.14144e+43
Mercury,9.4608e+08,-3.37401e+10,-2.81806e+10,0,37323.7,-31852.9,0,-1.97701e+35,3.14144e+43
Venus,9.4608e+08,5.40597e+10,-7.9754e+10,0,30681.1,16928.4,0,-1.97701e+35,3.14144e+43
Earth,9.4608e+08,1.48777e+11,-1.30338e+10,0,5552.81,29288.2,0,-1.97701e+35,3.14144e+43
Moon,9.4608e+08,1.48962e+11,-1.33598e+10,0,6454.31,29813.7,0,-1.97701e+35,3.14144e+43
Mars,9.4608e+08,2.21312e+11,7.63356e+10,0,-6518.57,23209.9,0,-1.97701e+35,3.14144e+43
Jupiter,9.4608e+08,-7.65767e+11,-1.12724e+11,0,2141.4,-12869.9,0,-1.97701e+35,3.14144e+43
Saturn,9.4608e+08,1.4222e+12,1.20949e+11,0,-716.66,9673,0,-1.97701e+35,3.14144e+43
Uranus,9.4608e+08,-1.794e+12,2.2164e+12,0,-5289.47,-4341.71,0,-1.97701e+35,3.14144e+43
Neptune,9.4608e+08,1.85809e+12,4.0868e+12,0,-4967.58,2236.21,0,-1.97701e+35,3.14144e+43
Sun,1.00915e+09,1.41398e+09,1.63382e+10,0,-9.88612,17.7653,0,-1.97701e+35,3.14144e+43
Mercury,1.00915e+09,1.77183e+10,7.09305e+10,0,-46408.9,12829.3,0,-1.97701e+35,3.14144e+43
Venus,1.00915e+09,9.4424e+10,7.1513e+10,0,-17891.7,30134,0,-1.97701e+35,3.14144e+43
Earth,1.00915e+09,1.48016e+11,-1.34584e+10,0,5922.88,29201.1,0,-1.97701e+35,3.14144e+43
Moon,1.00915e+09,1.48383e+11,-1.34021e+10,0,5771.94,30247.1,0,-1.97701e+35,3.14144e+43
Mars,1.00915e+09,1.74625e+11,1.64178e+11,0,-15713.3,18305.4,0,-1.97701e+35,3.14144e+43
Jupiter,1.00915e+09,-2.63194e+11,-7.15793e+11,0,12275.1,-4431.47,0,-1.97701e+35,3.14144e+43
Saturn,1.00915e+09,1.25054e+12,7.03139e+11,0,-4642.15,8507.39,0,-1.97701e+35,3.14144e+43
Uranus,1.00915e+09,-2.10566e+12,1.91826e+12,0,-4573.91,-5094.2,0,-1.97701e+35,3.14144e+43
Neptune,1.00915e+09,1.53961e+12,4.2157e+12,0,-5126.54,1848.8,0,-1.97701e+35,3.14144e+43
Sun,1.07222e+09,8.1876e+08,1.70902e+10,0,-6.74523,6.34013,0,-1.97701e+35,3.14144e+43
Mercury,1.07222e+09,1.59792e+10,-3.78322e+10,0,46655.5,11820.8,0,-1.97701e+35,3.14144e+43
Venus,1.07222e+09,-5.7361e+10,1.08099e+11,0,-29542.8,-18895.7,0,-1.97701e+35,3.14144e+43
Earth,1.07222e+09,1.47044e+11,-1.45333e+10,0,6301.12,29122.4,0,-1.97701e+35,3.14144e+43
Moon,1.07222e+09,1.47137e+11,-1.41671e+10,0,5301.65,29373.4,0,-1.97701e+35,3.14144e+43
Mars,1.07222e+09,9.54884e+10,2.23833e+11,0,-21996.8,9965.07,0,-1.97701e+35,3.14144e+43
