name,t,x,y,z,vx,vy,vz,E,L
Mercury,1.00915e+09,5.77922e+11,1.28878e+13,0,616.73,18508,0,1.73748e+33,3.16409e+43
Venus,1.00915e+09,1.41916e+12,-8.46156e+12,0,1399.4,-5697.42,0,1.73748e+33,3.16409e+43
Earth,1.00915e+09,6.03941e+12,-7.71689e+11,0,6680.02,-131.469,0,1.73748e+33,3.16409e+43
Moon,1.00915e+09,2.60503e+10,-6.50235e+10,0,57141.2,22880.6,0,1.73748e+33,3.16409e+43
Mars,1.00915e+09,8.18033e+11,-8.27457e+12,0,1209.08,-5542.61,0,1.73748e+33,3.16409e+43
Jupiter,1.00915e+09,-6.58738e+12,-3.3676e+12,0,-4704.86,-3969.41,0,1.73748e+33,3.16409e+43
Saturn,1.00915e+09,-1.99263e+12,1.60041e+12,0,-10124.9,1219.12,0,1.73748e+33,3.16409e+43
Uranus,1.00915e+09,-3.5664e+12,-3.41419e+12,0,-1738.42,-7154.27,0,1.73748e+33,3.16409e+43
Neptune,1.00915e+09,-2.43023e+12,9.56325e+11,0,-5281.09,-7984.23,0,1.73748e+33,3.16409e+43
Sun,1.07222e+09,0,0,0,0,-15.989,0,1.51092e+33,3.16559e+43
Mercury,1.07222e+09,6.16753e+11,1.40547e+13,0,614.671,18461.8,0,1.51092e+33,3.16559e+43
Venus,1.07222e+09,1.50684e+12,-8.81646e+12,0,1381.09,-5589.78,0,1.51092e+33,3.16559e+43
Earth,1.07222e+09,6.45396e+12,-7.78125e+11,0,6470.07,-105.413,0,1.51092e+33,3.16559e+43
Moon,1.07222e+09,-6.90985e+10,-1.15187e+10,0,10190.5,-60722,0,1.51092e+33,3.16559e+43
Mars,1.07222e+09,8.93919e+11,-8.61945e+12,0,1197.32,-5426.95,0,1.51092e+33,3.16559e+43
Jupiter,1.07222e+09,-6.87997e+12,-3.61481e+12,0,-4575.51,-3902.37,0,1.51092e+33,3.16559e+43
Saturn,1.07222e+09,-2.60274e+12,1.65712e+12,0,-9264.28,601.552,0,1.51092e+33,3.16559e+43
Uranus,1.07222e+09,-3.66875e+12,-3.85718e+12,0,-1514.39,-6928.59,0,1.51092e+33,3.16559e+43
Neptune,1.07222e+09,-2.68825e+12,4.30409e+11,0,-2916.98,-8628.76,0,1.51092e+33,3.16559e+43
Sun,1.1353e+09,0,0,0,0,-15.989,0,1.36031e+33,3.16699e+43
Mercury,1.1353e+09,6.55467e+11,1.52188e+13,0,612.962,18422.8,0,1.36031e+33,3.16699e+43
Venus,1.1353e+09,1.5934e+12,-9.16484e+12,0,1363.91,-5490.56,0,1.36031e+33,3.16699e+43
Earth,1.1353e+09,6.85608e+12,-7.83059e+11,0,6284.68,-83.6609,0,1.36031e+33,3.16699e+43
Moon,1.1353e+09,-3.86323e+10,5.84934e+10,0,-51324.8,-33923.2,0,1.36031e+33,3.16699e+43
Mars,1.1353e+09,9.69076e+11,-8.95732e+12,0,1185.98,-5320.25,0,1.36031e+33,3.16699e+43
Jupiter,1.1353e+09,-7.16481e+12,-3.85794e+12,0,-4458.57,-3840.16,0,1.36031e+33,3.16699e+43
Saturn,1.1353e+09,-3.1656e+12,1.68319e+12,0,-8611.56,220.619,0,1.36031e+33,3.16699e+43
Uranus,1.1353e+09,-3.75824e+12,-4.28664e+12,0,-1329.1,-6724.76,0,1.36031e+33,3.16699e+43
Neptune,1.1353e+09,-2.80079e+12,-1.1934e+11,0,-675.17,-8758.87,0,1.36031e+33,3.16699e+43
Sun,1.19837e+09,0,0,0,0,-15.989,0,1.27041e+33,3.16831e+43
Mercury,1.19837e+09,6.94081e+11,1.63807e+13,0,611.521,18389.2,0,1.27041e+33,3.16831e+43
Venus,1.19837e+09,1.67891e+12,-9.5072e+12,0,1347.74,-5398.67,0,1.27041e+33,3.16831e+43
Earth,1.19837e+09,7.24716e+12,-7.86731e+11,0,6119.23,-65.2438,0,1.27041e+33,3.16831e+43
Moon,1.19837e+09,3.72543e+10,5.93369e+10,0,-52099.9,32748.8,0,1.27041e+33,3.16831e+43
Mars,1.19837e+09,1.04353e+12,-9.28871e+12,0,1175.04,-5221.38,0,1.27041e+33,3.16831e+43
Jupiter,1.19837e+09,-7.44262e+12,-4.09729e+12,0,-4352.15,-3782.21,0,1.27041e+33,3.16831e+43
Saturn,1.19837e+09,-3.69191e+12,1.68958e+12,0,-8096.55,-34.1413,0,1.27041e+33,3.16831e+43
Uranus,1.19837e+09,-3.83703e+12,-4.70385e+12,0,-1173.52,-6539.89,0,1.27041e+33,3.16831e+43
Neptune,1.19837e+09,-2.77661e+12,-6.63612e+11,0,1415.69,-8467.27,0,1.27041e+33,3.16831e+43
Sun,1.26144e+09,0,0,0,0,-15.989,0,1.23099e+33,3.16957e+43
Mercury,1.26144e+09,7.32611e+11,1.75406e+13,0,610.29,18360.2,0,1.23099e+33,3.16957e+43
Venus,1.26144e+09,1.76342e+12,-9.84397e+12,0,1332.48,-5313.24,0,1.23099e+33,3.16957e+43
Earth,1.26144e+09,7.62833e+12,-7.89328e+11,0,5970.27,-49.4627,0,1.23099e+33,3.16957e+43
Moon,1.26144e+09,6.48687e+10,-2.64387e+10,0,23226.1,56992.3,0,1.23099e+33,3.16957e+43
Mars,1.26144e+09,1.11731e+12,-9.61409e+12,0,1164.49,-5129.39,0,1.23099e+33,3.16957e+43
Jupiter,1.26144e+09,-7.714e+12,-4.33311e+12,0,-4254.76,-3728.03,0,1.23099e+33,3.16957e+43
Saturn,1.26144e+09,-4.18893e+12,1.68245e+12,0,-7677.19,-214.421,0,1.23099e+33,3.16957e+43
Uranus,1.26144e+09,-3.90676e+12,-5.10993e+12,0,-1041.19,-6371.47,0,1.23099e+33,3.16957e+43
Neptune,1.26144e+09,-2.62562e+12,-1.17776e+12,0,3344.57,-7810.59,0,1.23099e+33,3.16957e+43
Sun,1.32451e+09,0,0,0,0,-15.989,0,1.23766e+33,3.17076e+43
Mercury,1.32451e+09,7.71069e+11,1.86988e+13,0,609.226,18334.7,0,1.23766e+33,3.17076e+43
Venus,1.32451e+09,1.84701e+12,-1.01755e+13,0,1318.04,-5233.52,0,1.23766e+33,3.17076e+43
Earth,1.32451e+09,8.00056e+12,-7.90998e+11,0,5835.13,-35.8012,0,1.23766e+33,3.17076e+43
Moon,1.32451e+09,3.32079e+09,-6.99691e+10,0,61490.8,2893.91,0,1.23766e+33,3.17076e+43
Mars,1.32451e+09,1.19043e+12,-9.93386e+12,0,1154.32,-5043.48,0,1.23766e+33,3.17076e+43
Jupiter,1.32451e+09,-7.97949e+12,-4.56561e+12,0,-4165.16,-3677.23,0,1.23766e+33,3.17076e+43
Saturn,1.32451e+09,-4.6618e+12,1.66554e+12,0,-7327.15,-347.39,0,1.23766e+33,3.17076e+43
Uranus,1.32451e+09,-3.96875e+12,-5.50585e+12,0,-927.363,-6217.34,0,1.23766e+33,3.17076e+43
Neptune,1.32451e+09,-2.35828e+12,-1.63976e+12,0,5103.26,-6815.91,0,1.23766e+33,3.17076e+43
Sun,1.38758e+09,0,0,0,0,-15.989,0,1.2916e+33,3.17191e+43
Mercury,1.38758e+09,8.09464e+11,1.98555e+13,0,608.297,18312.2,0,1.2916e+33,3.17191e+43
Venus,1.38758e+09,1.9297e+12,-1.05022e+13,0,1304.34,-5158.88,0,1.2916e+33,3.17191e+43
Earth,1.38758e+09,8.36465e+12,-7.91863e+11,0,5711.73,-23.8696,0,1.2916e+33,3.17191e+43
Moon,1.38758e+09,-6.37314e+10,-2.90964e+10,0,25627,-55977.1,0,1.2916e+33,3.17191e+43
Mars,1.38758e+09,1.26293e+12,-1.02484e+13,0,1144.51,-4962.99,0,1.2916e+33,3.17191e+43
Jupiter,1.38758e+09,-8.23955e+12,-4.79501e+12,0,-4082.37,-3629.44,0,1.2916e+33,3.17191e+43
Saturn,1.38758e+09,-5.1143e+12,1.64131e+12,0,-7029.13,-448.602,0,1.2916e+33,3.17191e+43
Uranus,1.38758e+09,-4.02406e+12,-5.89246e+12,0,-828.5,-6075.67,0,1.2916e+33,3.17191e+43
Neptune,1.38758e+09,-1.98578e+12,-2.02851e+12,0,6675.2,-5486.43,0,1.2916e+33,3.17191e+43
Sun,1.45066e+09,0,0,0,0,-15.989,0,1.39955e+33,3.173e+43
Mercury,1.45066e+09,8.47804e+11,2.10109e+13,0,607.479,18292.1,0,1.39955e+33,3.173e+43
Venus,1.45066e+09,2.01156e+12,-1.08244e+13,0,1291.34,-5088.8,0,1.39955e+33,3.173e+43
Earth,1.45066e+09,8.72127e+12,-7.92022e+11,0,5598.39,-13.3681,0,1.39955e+33,3.173e+43
Moon,1.45066e+09,-5.11882e+10,4.80105e+10,0,-42033,-44833.5,0,1.39955e+33,3.173e+43
